Gene.Name	Con1-Con2_log2.fold.change	Con1-Con2_p.adj
gene1	5.863926341	3.50E-16
gene2	1.929002791	4.56E-12
gene3	-2.822655802	4.56E-12
gene4	2.027202969	4.56E-12
gene5	-1.883615272	8.92E-12
gene6	-2.172994081	8.92E-12
gene7	-2.985366367	2.76E-11
gene8	-1.617736921	2.76E-11
gene9	2.595260529	5.17E-11
gene10	2.108772921	5.17E-11
gene11	-2.150489643	5.17E-11
gene12	-2.520557003	6.03E-11
gene13	-2.296589648	6.03E-11
gene14	-1.75442479	1.79E-10
gene15	-1.701181312	3.30E-10
gene16	1.246165223	4.00E-10
gene17	-1.638113432	4.00E-10
gene18	1.875332047	4.00E-10
gene19	-1.900436143	6.61E-10
gene20	2.243869368	6.61E-10
gene21	-1.723059069	7.13E-10
gene22	-1.652643405	7.13E-10
gene23	1.176800363	7.13E-10
gene24	-1.799037652	9.14E-10
gene25	1.482958122	1.19E-09
gene26	-1.580250002	1.38E-09
gene27	-1.378054096	1.38E-09
gene28	1.657340156	1.39E-09
gene29	-1.930068863	1.39E-09
gene30	2.099316494	1.47E-09
gene31	-1.246688226	1.84E-09
gene32	-1.064083371	2.25E-09
gene33	1.084060278	3.03E-09
gene34	-3.536023141	4.19E-09
gene35	-1.515973021	3.89E-09
gene36	-1.592746188	5.38E-09
gene37	-1.73920247	5.59E-09
gene38	1.32298384	7.48E-09
gene39	-0.924466152	7.48E-09
gene40	-2.966080216	9.03E-09
gene41	-1.465752319	1.06E-08
gene42	-1.241646838	1.43E-08
gene43	-0.860417596	1.55E-08
gene44	-1.166219356	1.55E-08
gene45	1.327371281	1.55E-08
gene46	-1.518384827	1.98E-08
gene47	0.879933735	1.98E-08
gene48	-1.098677772	2.13E-08
gene49	1.204735896	3.15E-08
gene50	1.031601627	2.80E-08
gene51	1.137736608	3.01E-08
gene52	-0.977649948	3.09E-08
gene53	-1.627385396	3.15E-08
gene54	-1.490269724	3.31E-08
gene55	0.816549013	3.55E-08
gene56	1.209976704	4.78E-08
gene57	-1.025776166	5.33E-08
gene58	1.782360423	7.81E-08
gene59	1.054649539	9.03E-08
gene60	-0.939870427	9.33E-08
gene61	-1.212264349	1.07E-07
gene62	-1.34914908	1.13E-07
gene63	-1.00556311	1.42E-07
gene64	-1.675758605	1.30E-07
gene65	1.013409521	1.36E-07
gene66	1.745464015	1.63E-07
gene67	-0.896024286	1.49E-07
gene68	-1.068816506	1.49E-07
gene69	-0.844466555	1.63E-07
gene70	1.453604789	1.77E-07
gene71	-1.047385765	1.83E-07
gene72	-0.893134727	2.00E-07
gene73	-1.494641107	2.48E-07
gene74	-1.712388869	2.38E-07
gene75	1.603358659	2.38E-07
gene76	1.518629828	3.56E-07
gene77	0.750003986	2.40E-07
gene78	-0.769148438	2.48E-07
gene79	1.041120552	2.50E-07
gene80	0.895173271	2.51E-07
gene81	-1.276921489	3.56E-07
gene82	1.006019483	2.98E-07
gene83	-1.190589689	3.04E-07
gene84	-1.627470845	3.56E-07
gene85	0.841665977	3.80E-07
gene86	-0.895967187	3.80E-07
gene87	1.068634279	4.07E-07
gene88	-0.91243575	4.48E-07
gene89	1.084506621	4.63E-07
gene90	-0.796501824	4.48E-07
gene91	-1.412121416	6.10E-07
gene92	-0.787599301	4.59E-07
gene93	-1.654102511	4.67E-07
gene94	-1.724539935	7.38E-07
gene95	-0.942562116	4.75E-07
gene96	-0.678465755	5.09E-07
gene97	-1.158102738	6.05E-07
gene98	-1.622195458	5.30E-07
gene99	-0.926290503	6.05E-07
gene100	-0.775833325	6.36E-07
gene101	-1.220792773	5.94E-07
gene102	-1.404862958	6.10E-07
gene103	-1.515158014	6.10E-07
gene104	1.155064561	6.36E-07
gene105	-0.802372527	6.32E-07
gene106	0.794617426	6.32E-07
gene107	1.265253175	6.32E-07
gene108	-1.147613794	7.38E-07
gene109	0.649652987	6.39E-07
gene110	-1.191263814	6.91E-07
gene111	-1.30627417	8.07E-07
gene112	0.992367341	7.84E-07
gene113	-1.038373303	1.06E-06
gene114	-1.404030932	7.51E-07
gene115	-1.633790115	7.84E-07
gene116	-1.903656825	1.04E-06
gene117	1.08167392	9.05E-07
gene118	-0.626151571	9.57E-07
gene119	-1.007183137	1.40E-06
gene120	-0.641734268	1.02E-06
gene121	0.897205251	1.23E-06
gene122	-2.291890534	2.31E-06
gene123	1.138902188	1.07E-06
gene124	0.853178739	1.41E-06
gene125	0.974837817	1.38E-06
gene126	-2.216261859	3.65E-06
gene127	2.052961424	2.61E-06
gene128	-1.252424668	2.84E-06
gene129	0.857508261	1.92E-06
gene130	-2.147192479	4.09E-06
gene131	-0.688444525	2.00E-06
gene132	-1.318080506	3.30E-06
gene133	1.405279956	2.00E-06
gene134	-1.061872245	2.35E-06
gene135	0.67577418	2.04E-06
gene136	1.035437444	2.83E-06
gene137	0.547901227	2.31E-06
gene138	-2.65968447	4.53E-06
gene139	-0.987890606	3.80E-06
gene140	-0.952817143	2.49E-06
gene141	-0.858130025	2.54E-06
gene142	-0.624324776	2.55E-06
gene143	-1.028315519	2.71E-06
gene144	0.913146101	3.30E-06
gene145	-1.208076065	4.29E-06
gene146	-1.066592128	3.16E-06
gene147	1.133787626	3.65E-06
gene148	-0.801042552	3.24E-06
gene149	1.1696801	4.08E-06
gene150	1.10700333	4.34E-06
gene151	-0.633123822	3.47E-06
gene152	0.941121769	3.65E-06
gene153	0.694102737	3.51E-06
gene154	1.308341207	4.84E-06
gene155	1.035284484	4.08E-06
gene156	0.834168017	3.84E-06
gene157	0.886336228	3.65E-06
gene158	-1.145931026	4.09E-06
gene159	-0.668157136	3.80E-06
gene160	-1.349356904	4.29E-06
gene161	1.421237318	4.00E-06
gene162	-0.808029438	4.08E-06
gene163	-0.832347819	4.37E-06
gene164	0.931501569	5.33E-06
gene165	-2.086554499	5.76E-06
gene166	-1.470113781	5.89E-06
gene167	0.835651086	5.30E-06
gene168	0.72505208	4.73E-06
gene169	-0.912521975	5.32E-06
gene170	0.792402617	5.09E-06
gene171	0.731871671	4.83E-06
gene172	0.796827109	5.12E-06
gene173	1.065173873	5.12E-06
gene174	-1.765289769	1.00E-05
gene175	0.65886837	4.84E-06
gene176	-0.909492708	5.16E-06
gene177	-0.881162603	5.38E-06
gene178	-0.953362291	5.16E-06
gene179	0.704090546	6.07E-06
gene180	-0.720053589	6.29E-06
gene181	-0.531285571	5.69E-06
gene182	0.919696139	5.69E-06
gene183	-1.593542283	5.89E-06
gene184	1.316745138	6.01E-06
gene185	-2.497912811	9.29E-06
gene186	1.012840194	7.60E-06
gene187	-0.994355699	1.15E-05
gene188	-1.197375766	1.00E-05
gene189	-0.561356737	8.67E-06
gene190	-1.416693664	1.17E-05
gene191	-1.166229443	8.99E-06
